@ HyperIMU - ianovir
@ Date:Tue May 19 08:06:24 GMT+02:00 2020, Sampling Rate:100ms
@ chris dancing, Ed Sheeran - Shape of You

accelerometer_lsm6ds3_c.x,accelerometer_lsm6ds3_c.y,accelerometer_lsm6ds3_c.z,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
-1.0938532,-9.510852,-1.9522226,0.1566,0.19999999,-1.8682,-0.407583,0.581913,-0.505391
0.23576182,-7.6928573,-1.8130618,1.8066,1.7716999,-1.2113,-0.444066,0.588678,-0.478072
-1.4566898,-11.954623,-3.5074673,-0.6239,-1.7083,0.084,-0.513928,0.598048,-0.432965
-2.9741635,-13.140911,-3.5132134,-2.2352998,-2.9306,-0.051,-0.549276,0.565855,-0.397114
0.6834201,-7.368328,-0.012564771,2.0916998,2.6178,1.0841,-0.528242,0.522718,-0.404275
-2.9737039,-10.497655,-0.6880648,-1.6252999,-0.7202,-1.0310999,-0.509796,0.470673,-0.418909
0.12246821,-9.167532,-0.28456524,1.2645,0.3831,-0.8508,-0.517744,0.459955,-0.406697
-0.96143484,-8.49775,0.7692187,0.2038,1.0623,0.5907,-0.543161,0.467004,-0.387644
-1.5399984,-9.640751,0.84187794,-0.5532,0.2607,2.3609,-0.589732,0.475488,-0.354257
-0.9783474,-10.24431,-1.1859727,0.4484,-0.93899995,1.2045,-0.606605,0.493906,-0.33101
-0.7906324,-8.699735,-0.2124806,0.28489998,0.5177,0.80939996,-0.560689,0.495378,-0.372624
-1.8135216,-8.48462,0.44633666,-0.5683,1.5637,0.28309998,-0.499222,0.49519,-0.435373
-0.63612026,-9.922022,-1.6429204,0.4576,-0.6056,-2.8400998,-0.46353,0.506294,-0.461243
-1.6170917,-8.714281,-1.024747,0.0191,0.94119996,-0.91499996,-0.458324,0.54661,-0.46501
-0.8108778,-7.76725,-1.4956481,0.72749996,1.7579999,1.3966999,-0.481486,0.589395,-0.445793
-0.9851182,-10.45839,-3.2259665,0.884,-2.0314999,-0.98319995,-0.513789,0.632369,-0.398924
-1.9700354,-11.939146,-2.1553369,-0.77419996,-2.6424,0.2012,-0.484228,0.620712,-0.43237498
0.3516412,-7.983427,-1.2767894,1.4864999,1.8554,-0.4877,-0.436965,0.592192,-0.492134
-0.5899122,-10.881598,-1.6187773,0.0932,-0.7435,-1.1072999,-0.40772,0.590171,-0.507085
-0.84615874,-9.8712845,-2.3078284,0.6435,-0.2346,-1.8066,-0.40877,0.586767,-0.50289
0.7216986,-7.847015,-1.2418342,2.0066,1.5623,-0.5746,-0.45175698,0.589166,-0.467202
-1.4389151,-12.443021,-2.0107656,-0.0656,-2.2903,0.2445,-0.530481,0.588265,-0.411714
-2.664239,-12.360957,-2.073235,-1.3778,-1.8928,1.1251999,-0.577309,0.538878,-0.361839
-1.2791646,-8.0877,-0.54584926,0.4114,1.5658,0.6504,-0.574498,0.474464,-0.342842
-3.256689,-9.895102,-1.065324,-1.1732,0.113299996,-0.36569998,-0.563892,0.421756,-0.348142
-0.5586918,-9.35339,-0.35440886,0.93289995,0.1963,-0.1874,-0.567571,0.414492,-0.339321
-1.1710999,-8.467496,-0.7245525,0.0736,1.0899,-0.072399996,-0.579977,0.437531,-0.339787
-2.1679304,-10.937643,0.2381656,-1.1053,-0.0854,2.2461998,-0.610973,0.478786,-0.329379
-3.6563003,-10.893503,-3.4437718,-2.4276,-1.4949,-1.3711,-0.600668,0.505261,-0.338676
-0.84120756,-7.3202047,-0.3349488,0.87219995,2.3051999,1.2049,-0.551763,0.506942,-0.373136
-1.250367,-9.71072,-2.1626728,0.0687,-0.0534,-1.5281,-0.517908,0.50829,-0.411683
-0.2998594,-9.086933,-1.1640129,1.0702,0.3541,-0.086799994,-0.49576,0.539713,-0.438314
-0.20698352,-8.886501,-0.9482667,0.7837,0.7399,-0.1943,-0.486287,0.552373,-0.455736
-1.8773798,-9.046223,-1.6789674,-1.5301,0.8279,-1.1599,-0.510985,0.578579,-0.448512
0.50419015,-12.194224,-2.1845272,0.81689996,-2.7333999,0.0534,-0.510132,0.607446,-0.441807
-0.9035717,-7.56856,-0.5348551,-0.3369,1.6567999,1.0037,-0.486267,0.581997,-0.474962
-0.1416697,-8.465533,0.105373606,0.98499995,1.7082,1.0207,-0.45068,0.563852,-0.500228
-0.38820544,-9.955981,-3.0838754,1.4525,-0.3409,-1.9588,-0.446575,0.551992,-0.488249
0.012880805,-8.061143,-2.5491927,0.9147,1.6189,-1.7242999,-0.468528,0.567944,-0.474555
0.70982337,-10.552186,3.8139155,0.5207,-0.68759996,5.8124,-0.521631,0.601459,-0.426629
0.15516342,-14.080521,-3.1581914,1.1508,-4.877,-0.1586,-0.549822,0.60217,-0.371863
-0.6620925,-6.8000975,-0.97498596,0.8405,2.312,1.03,-0.532515,0.559416,-0.395085
-1.8497506,-8.297939,0.1654968,-0.1988,2.3428,1.6014,-0.511853,0.50857997,-0.412836
0.20253031,-9.953846,-1.0041282,1.9041,-0.56979996,-1.2091,-0.522072,0.475699,-0.378973
-1.1034589,-6.757165,-0.73092103,0.2616,2.7175,0.5275,-0.570978,0.482579,-0.34157
-3.405637,-9.716283,-3.7573164,-2.3848,-0.31469998,-0.4333,-0.652638,0.480591,-0.294206
-3.7142017,-12.822406,-3.940042,-2.7159,-3.8358,-0.2965,-0.68617797,0.464259,-0.258756
-2.084574,-6.737963,-2.923416,-0.8965,2.1401,-0.46429998,-0.664776,0.44654,-0.271606
-1.5354495,-6.8986626,-1.0834816,-0.5115,3.4608,1.3883,-0.644,0.435946,-0.288253
-4.3640265,-10.514012,-2.7431424,-3.5523,-2.2482,-1.3428,-0.652757,0.433522,-0.25884
-2.4056077,-6.7434893,-1.2320561,-0.5875,2.6021,1.0487,-0.616062,0.4939,-0.294958
-1.2633628,-8.228325,-4.361508,0.3001,1.4739,-1.2688999,-0.588479,0.55181,-0.330517
0.7151481,-15.381395,-5.3929486,1.4868,-7.3550997,-3.4368,-0.551678,0.61921,-0.34983
3.2235723,-10.035813,0.15855362,4.4491,-1.5329,2.5505,-0.505179,0.625567,-0.402536
-1.5487038,-5.377109,1.0266145,-0.50409997,4.5123,1.0828,-0.452571,0.58042,-0.483415
0.63583297,-14.637718,-2.3260055,1.2056999,-5.5655,-3.3363,-0.437269,0.568938,-0.47976398
-1.4345003,-9.090573,0.9937086,0.6846,0.1771,1.6435,-0.457827,0.572007,-0.452211
0.9676597,-6.7602296,-3.6504107,3.35,2.0702999,-4.0787997,-0.472465,0.605649,-0.441938
-5.8599043,-13.416322,-10.219688,-2.8731,-4.0954,-3.9013,-0.551905,0.626487,-0.347112
-1.9388533,-13.301246,-2.7180893,0.0836,-5.2741,1.1083,-0.593105,0.591386,-0.299323
-2.6890047,-1.9841228,-1.6323763,-0.8728,7.3792996,1.4649999,-0.59816897,0.521797,-0.328129
-3.8233676,-11.717071,-1.5949214,-2.3088,-2.1689,0.6185,-0.639875,0.456176,-0.290941
-2.2056344,-8.927519,-3.6415904,-1.4793,-0.1169,-1.699,-0.654239,0.456445,-0.266473
-2.2360313,-5.1969213,-0.29215005,-0.264,4.0003,2.9287,-0.642493,0.49449798,-0.26535
-2.8518102,-10.443977,-5.1137943,-1.2247,-1.087,-0.94449997,-0.633053,0.542297,-0.26772
-5.0668106,-13.459608,-4.6307693,-2.7437,-4.4576,-0.3392,-0.607672,0.580034,-0.26866
-0.876795,-5.8399177,-1.3184773,0.5025,2.4336,0.0792,-0.5263,0.584847,-0.363292
0.82373947,-8.836903,-0.21791066,3.0907998,1.1012,0.6458,-0.450587,0.58728,-0.433414
-0.11298717,-17.384605,-5.2116027,0.4908,-8.1839,-3.8906,-0.436968,0.597237,-0.447814
-3.3099647,-8.546419,-2.44833,-0.8236,0.1525,-0.100499995,-0.439214,0.597881,-0.446995
-0.674121,-6.2809296,1.5662484,1.0526,2.508,0.95379996,-0.499012,0.610017,-0.391705
-1.6348662,-12.919189,-3.227087,-0.1257,-5.0386,-0.1104,-0.55996,0.615072,-0.300196
-2.4573321,-9.38482,-3.6552947,-0.132,-0.5248,-0.6645,-0.581088,0.557183,-0.303339
-3.1635354,-5.5671797,-0.21588038,-1.2883999,3.9582,2.0851998,-0.610655,0.485712,-0.287404
-7.365723,-10.968614,-2.0737617,-5.7518997,-2.4113,0.3006,-0.66147697,0.429859,-0.22831699
-1.0926466,-5.4462247,-0.5813313,0.5894,3.7868998,1.6107,-0.668342,0.426547,-0.228745
-2.5608954,-7.7926574,-3.0702477,-0.87659997,1.647,0.3272,-0.67501,0.445585,-0.23760399
-4.191002,-13.154577,-6.0237446,-2.4802,-4.4103,-3.3298,-0.681461,0.454788,-0.224413
-1.7282879,-6.9124336,-0.014662092,-0.8394,1.0157,1.1922,-0.63215,0.467627,-0.262381
-0.40311652,-7.6980767,0.6474209,1.6625999,2.1685,1.8585,-0.576967,0.477352,-0.316596
0.115094066,-10.187682,-1.6152817,0.9156,-1.5257,-1.1007,-0.551508,0.495189,-0.356341
-1.960085,0.864958,9.136848,0.2138,-0.5388,0.0561,-0.081364,0.082125,0.989761
-1.3409253,1.776603,8.236332,-0.0072999997,0.5435,-1.4116,-0.059182,0.070874,0.98723
-1.52231,1.4296066,8.946375,-0.2174,-0.0981,-0.79319996,-0.05542,0.086508,0.979178
-1.5768595,1.3881294,9.240355,-0.3215,-0.0488,-0.3811,-0.051061,0.083428,0.974504
-1.37024,1.6401814,9.456024,-0.087699994,0.21229999,-0.092999995,-0.046631,0.084164,0.971525
-1.0311539,2.0841527,9.385032,0.33179998,0.3139,-0.50339997,-0.041428998,0.098066,0.967923
-1.5768499,2.3370569,9.733033,-0.3033,0.3155,0.0266,-0.041128,0.116899,0.965382
-0.7978629,2.3788023,9.294943,0.384,0.0042,-0.2699,-0.028568,0.130081,0.961815
-1.1856278,3.5824919,9.292472,0.2496,0.7999,-0.2421,-0.028777,0.152728,0.957388
-0.7503141,3.2754307,8.785179,0.0277,0.3994,-0.8777,-0.003273,0.154061,0.950992
-0.33366552,2.9280512,9.296178,0.2139,0.0341,0.2522,0.014793,0.152127,0.94712
-0.3091393,3.2911558,9.3478155,0.0773,-0.24039999,0.38509998,0.023656,0.145185,0.947223
-0.54436487,2.8491,9.588414,-4.0E-4,0.0594,0.1539,0.019437,0.141315,0.947598
-0.24463953,3.0128253,9.520724,0.057499997,0.0639,0.15609999,0.024421,0.144449,0.946473
-0.43259394,2.7932575,9.45362,-0.067099996,-0.0013,0.0442,0.024381,0.145474,0.944696
-0.7237959,3.0664456,9.257343,-0.4752,0.8699,0.29029998,0.022927,0.140633,0.94493
-0.5519497,2.770369,9.034596,-0.0026999998,-0.3125,-0.2172,0.023306,0.147921,0.943253
-0.69961447,2.677522,9.690359,0.0513,-0.1002,0.040999997,0.008133,0.143275,0.943506
-0.39027402,2.0132172,10.0276165,0.3672,-0.0633,0.50299996,-9.2099997E-4,0.116828,0.945914
-0.80843574,2.1372464,9.345441,0.043399997,0.1375,-0.2889,-0.006915,0.115623,0.946921
-0.61794347,1.4440293,10.3208475,0.3218,-1.102,0.894,-0.009889,0.137786,0.944492
-1.602286,3.4644768,8.640004,0.1114,-0.2385,-0.234,-0.023736,0.204941,0.93283397
-2.7631671,4.073514,8.338372,-0.5248,-0.30179998,-0.18249999,-0.045156,0.242187,0.920903
-3.1035461,4.6365824,8.112542,-0.51309997,0.8393,-0.5731,-0.061358,0.25693,0.917986
