@ HyperIMU - ianovir
@ Date:Thu Jun 11 21:27:46 GMT+02:00 2020, Sampling Rate:20ms

linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
0.0,0.0,0.0,0.0,0.0,0.0
-1.0802,0.27019998,-2.5218,-0.208335,0.004205,-0.948396
-1.6171,3.1896,-2.0255,-0.198954,-0.0120439995,-0.950315
-1.4290999,2.2223,-0.2548,-0.191312,-0.020162,-0.951419
-1.3253,-0.6512,0.0872,-0.187487,-0.017191,-0.951454
-2.9469,0.1531,-2.3065999,-0.177894,-0.015666,-0.952004
-1.3334999,3.1118999,-2.9747999,-0.173382,-0.027656,-0.951967
1.7081,1.1057,0.796,-0.170265,-0.033095,-0.951341
4.7222,0.64849997,-2.5242,-0.172258,-0.025037,-0.951209
4.9154,0.5424,-3.3978,-0.185598,-0.028482,-0.949438
3.6258,1.355,-1.4147999,-0.184816,-0.014409,-0.949524
5.5506997,-0.074499995,3.3539999,-0.185535,-0.009216,-0.94945097
6.5871997,-0.7457,7.6085997,-0.186879,-0.002986,-0.949196
5.5105,1.9204999,5.7874,-0.185947,0.001789,-0.949172
-1.9188999,2.5029,-4.0481,-0.188667,-0.002258,-0.950244
0.34489998,2.3035998,1.6743,-0.176738,0.011489,-0.954379
1.0684,0.7181,4.4645,-0.158032,0.033962,-0.958579
-0.51,1.1841999,-1.4925,-0.142519,0.050861,-0.961893
-1.4617,-0.3117,-4.289,-0.135521,0.077142,-0.962947
-3.6306999,-2.1274,-4.5052,-0.132704,0.116989,-0.960172
-3.2178,-1.4211999,-6.2036,-0.141326,0.163495,-0.952535
-3.7287,-3.8181,-9.5564995,-0.16128,0.215033,-0.938365
-4.4607997,-3.4829,-9.9064,-0.182375,0.267674,-0.920169
-5.5386,-3.7417998,-9.0697,-0.200716,0.32293,-0.89843
-4.8547997,-5.1085997,-5.1022,-0.221198,0.379377,-0.871242
-1.8137,-5.8287,0.32439998,-0.242632,0.433786,-0.838715
3.8799999,-5.6292996,8.9819,-0.26412,0.481343,-0.803603
8.1754,-5.1092997,6.8638997,-0.284609,0.539409,-0.755857
10.4464,-6.2542996,11.107599,-0.297129,0.56749,-0.729845
12.4595995,-3.8418999,23.008099,-0.304341,0.593267,-0.707194
10.2666,-0.8944,15.1278,-0.312602,0.604638,-0.694224
10.5708,1.2946,12.315499,-0.322755,0.596445,-0.695336
11.014899,1.9276999,4.449,-0.366126,0.589737,-0.669083
7.7583,3.4329998,-5.1017,-0.411091,0.582137,-0.64716
5.9714,8.4283,1.3562,-0.447478,0.578282,-0.631311
2.5193,10.9429,6.2135,-0.46758398,0.573731,-0.630688
2.6992,11.658299,5.1106,-0.488141,0.55071497,-0.648715
-0.50699997,9.481,6.0195,-0.495878,0.53806597,-0.657088
-5.7321,7.1682,1.8226,-0.499675,0.531276,-0.65693897
-8.679999,4.678,0.8163,-0.500757,0.534195,-0.651448
-0.831,1.5906,2.1037,-0.497835,0.537048,-0.652804
8.8737,0.787,3.6801999,-0.482295,0.543169,-0.664064
10.884999,-1.5317999,2.6067,-0.464368,0.549333,-0.676546
7.1548,-3.9720998,4.0846,-0.450242,0.548216,-0.690895
6.9158998,-5.9851,2.5799,-0.445379,0.544221,-0.699214
7.1074,-8.1234,0.2214,-0.444697,0.54455,-0.700308
11.8982,-7.3798,2.8788998,-0.442648,0.548496,-0.700276
9.920899,-4.6451,3.7805998,-0.43991598,0.553381,-0.700286
1.6184,-2.053,-1.0389999,-0.440212,0.561015,-0.695544
-1.4583,1.5461,1.9253,-0.449837,0.5769,-0.677157
-2.7761998,5.5239997,6.9515996,-0.450257,0.585408,-0.669536
-2.7235,6.7307997,5.5273,-0.449335,0.581732,-0.673242
-4.0941,7.6370997,2.0677,-0.447656,0.598357,-0.65670997
-3.7523,7.8037996,2.4737,-0.436633,0.604133,-0.657399
-6.0915,7.5017,-3.0114,-0.418672,0.624236,-0.650088
-12.788199,10.9751,-9.8351,-0.402104,0.651429,-0.633983
-6.5078998,6.4999,-1.6761,-0.381447,0.682301,-0.611155
-7.0617,0.022799999,13.4512,-0.33475,0.712925,-0.602614
-0.35979998,-0.0915,3.5600998,-0.294022,0.730457,-0.59901
