@ HyperIMU - ianovir
@ Date:Thu Jun 11 21:35:10 GMT+02:00 2020, Sampling Rate:20ms

linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-0.045599997,0.84059995,-0.81839997,0.098614,-0.080903,-0.1473
-0.5126,1.1389999,-0.5527,0.102493,-0.072881,-0.14964
-1.1027,1.4375,0.1881,0.102664,-0.050525,-0.158974
-0.32569999,0.80289996,0.29099998,0.102657,-0.036102,-0.163573
-0.0156,0.2739,-0.084699996,0.100398,-0.024506,-0.166683
0.1813,0.1556,-0.8935,0.094546996,-0.002089,-0.172369
0.2399,0.20539999,-0.94149995,0.094797,0.002505,-0.17172
-0.0023,0.01,-1.1369,0.109183,0.010427,-0.175647
-0.4141,-0.7614,-1.1007999,0.132036,0.020901,-0.181923
-0.6235,-0.974,-1.0831,0.139783,0.031341,-0.184653
-0.6626,-1.3167,-0.94329995,0.145595,0.041268,-0.186515
-0.7222,-1.1988,-1.0775,0.143293,0.050276,-0.187639
-0.67509997,-1.8858999,-0.7424,0.154423,0.061651,-0.190569
0.0356,-2.3655999,-0.5985,0.142617,0.064357,-0.188774
0.4446,-2.7596998,-0.8576,0.130038,0.066029,-0.184517
0.4269,-3.1244,-1.3432,0.115974,0.067557,-0.180572
-0.3552,-2.9938,-1.2171999,0.086786,0.073518,-0.17911
0.18519999,-3.0974,-0.9921,0.069192,0.071586,-0.178845
0.724,-3.1857998,-1.0832,0.065273,0.067135,-0.178681
1.9847,-3.1871998,-2.4713,0.026384,0.052938,-0.177837
0.0556,-2.6032999,-2.1929998,0.003991,0.040853,-0.188043
-1.1712999,-3.5167,-1.4303,-0.020213,0.034112,-0.202837
0.315,-3.2142,0.7269,-0.041446,0.029063,-0.212312
1.2709999,-3.1481,0.997,-0.056373,0.025683,-0.216749
1.5878999,-4.0123997,1.321,-0.065401,0.02401,-0.220162
1.997,-4.0787,2.5939999,-0.068889,0.022618,-0.227085
2.4487998,-3.4956,2.4845998,-0.075567,0.021664,-0.227261
2.7166998,-2.8555999,1.4972999,-0.070683,0.018697,-0.234956
2.4201,-2.416,1.4506999,-0.068241,0.017695,-0.238093
2.7718,-2.648,1.6111,-0.065946,0.017186,-0.239855
2.6439,-2.5217,2.6267998,-0.064418,0.01683,-0.2405
3.8118,-2.2717,2.1294,-0.061463,0.017211,-0.241068
3.9520998,-2.6833,1.4909999,-0.056757,0.017416,-0.244077
2.3162,-2.8283,-0.0398,-0.051707,0.017208,-0.251965
1.6184,-1.0472,-0.8696,-0.047621,0.01983,-0.264206
1.2001,0.3249,-0.9314,-0.044531,0.022908,-0.276112
2.9771,1.0102,0.3011,-0.041696,0.024818,-0.286634
3.6787,0.6781,2.4205,-0.035641,0.033812,-0.29898798
0.4287,-0.6204,5.2696,-0.005851,0.064366,-0.323833
0.0809,-0.6606,5.0046997,0.01053,0.074576,-0.331483
-0.0919,-2.7235,-2.3327,0.035680998,0.082384996,-0.350756
1.8636999,1.8337,-0.0814,0.036398,0.070883,-0.363634
2.2772,4.2427,3.7045999,0.034103,0.07564,-0.368754
2.8344,-2.4958,-2.8948998,0.026782,0.081753,-0.372948
2.3637,-8.6824,-4.0628,0.01488,0.087361,-0.383463
3.9419,-4.5663,-1.4188,0.006991,0.105407,-0.394292
-0.2126,-2.5254998,0.2105,0.006924,0.142088,-0.404577
-2.1227,1.0225999,1.0491999,0.015612,0.175371,-0.41116
-0.2665,-2.2488,-6.3188996,0.055188,0.221986,-0.424317
5.3603997,-2.8527,-1.5486,0.065735,0.234987,-0.434277
4.4755,-1.5352,-8.2023,0.101489,0.28284,-0.465651
1.9734,-4.7223997,0.6432,0.118184,0.336646,-0.506459
0.46609998,-2.9894998,-2.458,0.140865,0.39285,-0.532735
-0.0316,-5.8538,-3.0309,0.185514,0.46103,-0.558113
-2.4219,-5.6261997,1.8261,0.230371,0.522529,-0.580542
-4.8279,-2.9122,-0.78679997,0.265824,0.566319,-0.604798
-5.5236998,-0.5645,0.1484,0.300321,0.596133,-0.625169
-7.4164996,1.7369,3.7835,0.338234,0.613193,-0.638897
-3.4069998,1.4363999,1.4659,0.365785,0.614772,-0.650928
0.9837,-1.2129999,-2.0042,0.374833,0.610994,-0.663842
5.634,-2.6267,-0.37829998,0.365187,0.617535,-0.680614
4.4111,-0.9278,-1.9046999,0.365505,0.618296,-0.684148
-1.2695,0.2164,3.033,0.362173,0.622073,-0.691778
-1.7705,0.35779998,2.0729,0.356223,0.617895,-0.700682
-3.3353,1.8048999,2.5128999,-0.346667,-0.609055,0.713278
-2.3469,3.7024,1.1475999,-0.344861,-0.603394,0.71802497
-0.46179998,2.5231,0.79969996,-0.334985,-0.602131,0.721554
0.75299996,0.3938,4.0302997,-0.33073398,-0.600506,0.722908
-0.2171,-1.4883,5.266,-0.321257,-0.601071,0.723844
0.83709997,-2.2107,4.842,-0.311019,-0.604268,0.721876
-0.0442,-0.19309999,-0.0022,-0.299835,-0.608262,0.71938
-0.68869996,0.1919,0.8441,-0.286748,-0.616698,0.711801
-0.87729996,-0.6472,2.9961,-0.280913,-0.617127,0.712321
-0.9605,-2.1825,1.7958,-0.262876,-0.630443,0.706144
-5.1569,-1.1848,0.8382,-0.263271,-0.635552,0.700819
-8.3935995,-0.3132,2.4363,-0.272302,-0.635271,0.700207
-4.6726,-1.2411,3.5045998,-0.28463,-0.627833,0.705591
-0.4757,-0.64489996,5.1303997,-0.306482,-0.614531,0.70934
8.039,2.6306999,2.5816998,-0.319155,-0.599808,0.716013
13.9739,6.2124,-5.0594,-0.319089,-0.598098,0.716253
3.7791998,8.4226,1.05,-0.315818,-0.604399,0.70950097
1.2584,4.8966,0.7011,-0.31824,-0.597053,0.708917
-1.2548,2.9729998,0.2543,-0.326593,-0.588901,0.70869
0.6611,1.5505999,-0.7066,-0.330168,-0.590725,0.704895
3.3309,-1.1876999,-0.2421,-0.31982,-0.61104,0.691048
5.7443,-3.7798,6.9715,-0.310367,-0.621388,0.682223
3.4826,-3.2854998,8.9022,-0.301458,-0.628501,0.673319
-3.1499,10.6608,4.0980997,-0.290752,-0.626827,0.676952
-7.6073,3.4032998,4.1351,-0.279884,-0.62809,0.67827797
-3.8827999,0.6473,2.1850998,-0.272818,-0.62768,0.685698
-3.0102,3.0693998,0.1059,-0.265178,-0.627361,0.692528
-0.3689,-1.0995,-1.0123,-0.268524,-0.619903,0.708681
-1.2509999,-4.44,2.7331998,-0.292563,-0.613404,0.70656097
2.4192998,-6.3528,1.4433,-0.329482,-0.618894,0.686071
2.728,2.9812,-0.070199996,-0.360053,-0.630698,0.665195
0.77059996,2.9064,6.8595,-0.36821,-0.640828,0.659893
3.7991998,1.4339,-0.87579995,-0.348134,-0.652417,0.665089
1.1955,5.4069,-1.3838999,-0.323901,-0.663343,0.662942
-1.438,5.8571997,0.8409,-0.302887,-0.683108,0.646637
-8.907599,-12.8547,7.0365996,-0.289166,-0.69509,0.631583
-4.9835997,-26.8713,1.551,-0.281078,-0.697551,0.618697
-8.5991,-2.5074,-2.7056,-0.27441,-0.700177,0.59691
-4.7416997,2.2946,0.7151,-0.267421,-0.712003,0.586034
2.7933,0.264,4.0789,-0.270612,-0.71431,0.580383
2.5026,1.0718,3.7206998,-0.270532,-0.717647,0.57759297
1.9717,0.7653,2.7173998,-0.269207,-0.71908,0.574942
1.5795,0.4306,2.4405,-0.271021,-0.722483,0.570848
0.228,0.047199998,1.9663999,-0.27536,-0.722106,0.566901
-1.4492999,0.0297,2.4164999,-0.283288,-0.718996,0.564341
-1.7749,0.042,2.5758,-0.285298,-0.722453,0.559082
-1.8769,0.1654,3.0124,-0.290875,-0.719014,0.560478
-1.5352,0.15349999,3.1674,-0.293302,-0.718657,0.55949
-1.2579,0.0327,2.8792,-0.29592898,-0.71814,0.558011
-1.1353999,-0.089099996,2.5242,-0.299325,-0.717359,0.555919
-1.1199,-0.1337,2.4866,-0.30115598,-0.72013,0.551006
-1.0081,-0.16,2.3023999,-0.306958,-0.71566,0.550485
-1.0603,-0.0414,2.5388,-0.310953,-0.715019,0.547136
-1.0828,0.0084,2.8827999,-0.315382,-0.714154,0.543588
-1.0526,0.047599997,3.1288998,-0.319904,-0.713226,0.539765
-0.9942,0.056199998,3.3641,-0.324496,-0.712199,0.535538
-0.9996,-0.0041,3.5990999,-0.332335,-0.714183,0.523477
-1.1881,-0.0436,3.55,-0.337661,-0.712031,0.518611
-1.4265,-0.1096,3.4780998,-0.343265,-0.709229,0.513862
-1.6694,-0.2048,3.3613,-0.348819,-0.706191,0.509007
-1.8141999,-0.2713,3.2363,-0.354805,-0.702936,0.503757
-1.8491,-0.2884,3.0793,-0.360938,-0.699448,0.498428
-1.7519,-0.3272,2.9157999,-0.367221,-0.695927,0.492581
-1.5831,-0.3286,2.9196,-0.373526,-0.692344,0.486261
-1.4027,-0.3126,2.9208999,-0.379731,-0.689008,0.479722
-1.171,-0.21769999,2.9793,-0.388213,-0.680951,0.47353
-1.2709,-0.2201,3.0881,-0.393125,-0.678377,0.466761
-1.5893999,-0.0756,3.0475,-0.397897,-0.675691,0.460341
-1.8238,-0.078499995,2.9435,-0.402411,-0.672787,0.454627
-1.8987999,-0.097799994,2.7867,-0.406612,-0.669514,0.4494
-1.9554,-0.1652,2.564,-0.41063,-0.666042,0.444264
-2.0274,-0.281,2.3797,-0.414602,-0.662522,0.439246
-1.9593999,-0.30949998,2.3079,-0.418565,-0.659148,0.43415698
-1.8532,-0.3414,2.2187998,-0.422459,-0.656245,0.428736
-1.806,-0.3181,2.1519,-0.426453,-0.653342,0.422609
-1.8247,-0.2609,2.1095998,-0.429158,-0.651831,0.418659
-1.9351,-0.3145,1.9574,-0.432307,-0.650317,0.414055
-2.0544,-0.4369,1.8465999,-0.435938,-0.648931,0.409411
-2.1136,-0.5847,1.7998999,-0.440735,-0.647708,0.403549
-2.0983,-0.63119996,1.4422,-0.449346,-0.649325,0.387285
-1.997,-0.3247,0.80759996,-0.455688,-0.649249,0.377893
-1.8598,0.066199996,0.15089999,-0.462638,-0.650509,0.367598
-1.8794999,0.6489,-0.030599998,-0.47113,-0.653431,0.355409
-2.2196999,1.3916999,0.4987,-0.481676,-0.657582,0.34153
-2.0167,0.4553,0.73399997,-0.494675,-0.661982,0.325322
-1.0236,-2.8644,0.98499995,-0.509608,-0.665221,0.306448
0.325,-6.7332997,0.8955,-0.525072,-0.666677,0.285566
0.0543,-6.5368,1.6629,-0.537986,-0.6681,0.267084
-1.1374999,-2.6395,4.4318,-0.552447,-0.662391,0.246537
-1.8924999,-1.0458,6.3894,-0.561148,-0.655652,0.232627
-2.6680999,-0.38619998,5.579,-0.56986,-0.648622,0.222356
-2.4119,0.24769999,5.0154,-0.577359,-0.640605,0.214422
-2.1118,0.2471,3.7013,-0.584041,-0.633335,0.207631
-2.0448,0.1647,3.6529,-0.590089,-0.625735,0.202198
-1.9261999,0.1838,3.8183,-0.594894,-0.618291,0.198032
-1.6293,0.6288,3.8611,-0.597826,-0.611528,0.195609
-1.5157,0.65419996,3.7524998,-0.599191,-0.605636,0.195218
-1.4985,0.2346,2.9675,-0.600201,-0.600467,0.196717
-1.8656,-0.4912,1.7531999,-0.600139,-0.595585,0.202038
-1.9908999,-1.3575,0.1907,-0.600312,-0.592747,0.20033
-1.6227,-1.5796,-0.5861,-0.601003,-0.589413,0.200698
-1.2063,-1.2894,-0.7658,-0.602421,-0.5874,0.19809599
-1.8376,-1.2039,-0.9874,-0.604582,-0.587479,0.194911
-2.4596,-1.2048,-0.2979,-0.607514,-0.588418,0.19245
-3.204,-1.1157,0.2408,-0.611576,-0.588434,0.189856
-3.8286,-0.98469996,0.8634,-0.616695,-0.586269,0.186746
-3.9232998,-0.4553,2.0581,-0.622806,-0.580559,0.182807
-3.3644,-0.1549,2.8645,-0.629093,-0.572095,0.17717
-2.3966,-0.35439998,3.2279,-0.637341,-0.553513,0.172294
-2.0054998,-0.7855,2.8212,-0.640325,-0.544816,0.167508
-1.6269,-1.3959,2.1285,-0.642151,-0.537742,0.163965
-1.4892,-1.9991,1.4415,-0.643338,-0.531612,0.161097
-1.9367,-2.0588,0.62979996,-0.644672,-0.525843,0.158119
-2.4062,-1.5447999,0.4712,-0.64673,-0.519871,0.154747
-2.3086,-0.8477,1.5037,-0.649625,-0.512501,0.14959499
-2.1108,-0.3822,2.1095,-0.652596,-0.505146,0.14369
-2.1093,-0.2701,2.6548,-0.655299,-0.497434,0.137145
-2.4694998,-0.5172,2.6892,-0.657861,-0.489216,0.130493
-3.4276,-1.3083999,2.218,-0.661777,-0.477638,0.113836
-4.3649,-1.3428999,1.7543,-0.664883,-0.46677,0.106842
-4.5255,-1.0993,1.8860999,-0.668594,-0.454583,0.100715
-4.1503,-0.8979,2.0228,-0.672085,-0.442083,0.095365
-3.4306998,-0.7881,1.7816999,-0.675345,-0.429828,0.089966
-2.7975,-0.7435,1.239,-0.678231,-0.41794398,0.084074
-2.355,-0.6678,0.8634,-0.680761,-0.406308,0.077223
-2.0965,-0.652,0.4931,-0.683056,-0.395065,0.069174
-2.0835,-0.6897,0.40789998,-0.68512,-0.38459,0.061328
-2.1775,-0.769,0.48499998,-0.687063,-0.374397,0.053497
-2.4326,-0.7306,0.5869,-0.688921,-0.364436,0.046006
-2.7345998,-0.54829997,0.7467,-0.691609,-0.348212,0.041137
-2.7187998,-0.5719,0.69909996,-0.692638,-0.339707,0.036344
-2.6878998,-0.5765,0.71,-0.693456,-0.332148,0.032513
-2.6648,-0.6405,0.76269996,-0.694116,-0.32495,0.029027
-2.5132,-0.55799997,0.86609995,-0.694596,-0.318117,0.025853
-2.5163999,-0.55439997,0.95339996,-0.694934,-0.311735,0.023124
-2.5033998,-0.5541,0.9105,-0.6952,-0.305979,0.020541
-2.6188,-0.61469996,0.81619996,-0.695503,-0.300655,0.018124
-2.7010999,-0.6556,0.82629997,-0.695847,-0.29568,0.016157
-2.7142,-0.6773,0.8472,-0.696022,-0.291122,0.01457
-2.8239,-0.5999,1.0303,-0.695922,-0.286746,0.013321
-2.958,-0.56589997,1.212,-0.694892,-0.283588,0.008732
-2.8553998,-0.543,1.1919999,-0.694892,-0.279114,0.012034
-2.823,-0.5669,1.0217999,-0.694167,-0.276097,0.011629
-3.0835,-0.5083,0.85709995,-0.692568,-0.274861,0.00806
-3.0384,-0.47379997,0.7726,-0.691891,-0.272362,0.008217
-2.9150999,-0.4306,0.75509995,-0.6913,-0.270378,0.00872
-2.7825,-0.4377,0.75339997,-0.690782,-0.268764,0.009437
-2.6859999,-0.45769998,0.7475,-0.690216,-0.267798,0.01021
-2.6172,-0.41239998,0.7934,-0.689669,-0.267038,0.010551
-2.552,-0.4477,0.7374,-0.689221,-0.266598,0.010842
-2.5683,-0.5144,0.6816,-0.688957,-0.26663,0.011215
-2.6162,-0.4454,0.731,-0.689346,-0.264712,0.015333
-2.6073,-0.3778,0.8174,-0.689391,-0.265366,0.015781
-2.5425,-0.3805,0.83019996,-0.689404,-0.266556,0.016462
-2.5444,-0.46159998,0.7811,-0.689505,-0.268163,0.017588
-2.5963,-0.5238,0.7851,-0.689612,-0.270121,0.018926
-2.6455998,-0.5466,0.8925,-0.689745,-0.272509,0.020769
-2.6273,-0.5312,0.9561,-0.689798,-0.275552,0.023075
-2.6777,-0.48709998,1.0052,-0.689813,-0.279122,0.025792
-2.6527,-0.4251,1.0193,-0.689824,-0.283044,0.02853
-2.5042,-0.3066,1.0773,-0.689764,-0.287492,0.031383
-2.3299,-0.3089,1.0296,-0.689764,-0.292783,0.034535
-2.2273998,-0.43199998,1.0715,-0.689637,-0.299219,0.038306
-2.2052999,-0.5259,1.1498,-0.689282,-0.313407,0.042927
