@ HyperIMU - ianovir
@ Date:Thu Jun 11 23:43:06 GMT+02:00 2020, Sampling Rate:20ms

timestamp,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,Rotation_Vector.x,Rotation_Vector.y,Rotation_Vector.z
1591911786699,0.0,0.0,0.0,0.0,0.0,0.0
1591911786720,0.0,0.0,0.0,0.0,0.0,0.0
1591911786741,-0.026919842,-0.5804262,1.1684632,0.3682574,-0.1772674,0.26046008
1591911786761,-0.026919842,-0.5804262,1.1684632,0.3682574,-0.1772674,0.26046008
1591911786782,-0.21646357,-0.022861004,-0.20641232,0.3372241,-0.15273368,0.2820058
1591911786803,-0.36246777,-0.05478525,-0.04672575,0.33333236,-0.15097342,0.2753997
1591911786824,-0.042408466,-0.08681154,0.27375555,0.32539245,-0.14813247,0.27577543
1591911786845,-0.07207203,0.14094591,0.59707355,0.32027388,-0.14352088,0.27445403
1591911786868,-0.3179412,0.37283754,0.37105417,0.31758565,-0.13771194,0.26979724
1591911786890,-0.21711588,0.46677303,0.16402292,0.3177341,-0.13280761,0.26575053
1591911786909,-0.39295983,0.097005844,-0.011479855,0.31545374,-0.12756486,0.25815868
1591911786931,-0.46191883,-0.056722164,0.18697166,0.3104843,-0.12329262,0.25652105
1591911786952,-0.2827344,-0.22779274,0.085711956,0.30611226,-0.118894055,0.25644153
1591911786973,0.080652475,-0.15387344,0.35055923,0.30363005,-0.115493484,0.2586334
1591911786994,-0.22544813,-0.17267323,0.0021071434,0.29988608,-0.10958472,0.2562228
1591911787015,-0.1240046,0.03594923,-0.7931032,0.29916713,-0.106919214,0.25666735
1591911787036,-0.31504393,0.23327065,0.052453995,0.29672295,-0.10477848,0.25509226
1591911787056,-0.34828186,0.16518974,0.17611217,0.29417002,-0.10377828,0.25349808
1591911787077,-0.24169374,-0.046640396,-0.088553905,0.2905745,-0.10301775,0.25277293
1591911787099,0.088116646,0.022107601,0.23821926,0.2877601,-0.102352776,0.25465864
1591911787120,-0.13103008,0.020136356,0.6627779,0.27941048,-0.09949543,0.25625134
1591911787138,-0.13701391,0.30236816,0.37152576,0.27683434,-0.0982571,0.25639552
1591911787159,-0.55624795,0.4814782,0.055823326,0.27376893,-0.0967395,0.25430116
1591911787180,-0.21636915,-0.011330128,0.04472637,0.26930702,-0.094001785,0.25676742
