@ HyperIMU - ianovir
@ Date:Thu Jun 11 21:33:15 GMT+02:00 2020, Sampling Rate:20ms

linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
-3.6329,-3.5953,-7.2739997,-0.058566,-0.595565,-0.63833
-1.1237,-1.5232999,-6.6958,-0.045104,-0.607511,-0.624233
1.1287,0.21939999,-4.0896997,-0.044223,-0.61321,-0.615031
6.3794,-1.7077,-2.481,-0.055736,-0.60942,-0.618674
5.482,-0.0368,-2.3595,-0.058336,-0.59941,-0.636445
2.1785998,-0.3822,-6.0924997,-0.037619,-0.596198,-0.683911
-17.628899,11.8585,-3.6183,0.013172,-0.579951,-0.73137
-18.5842,20.0381,-0.9571,0.057537,-0.54625,-0.768888
-13.8187,22.4496,4.161,0.062787,-0.520298,-0.786926
7.8715997,16.875399,6.1527,0.035363,-0.503441,-0.790144
-2.4731998,8.5146,3.5718,0.028222,-0.495801,-0.794727
-2.1805,-4.3750997,3.0906,0.027457999,-0.495806,-0.802735
0.5115,-7.5361,-3.5052998,-0.032176,-0.513106,-0.801616
4.9330997,-10.0736,-7.685,-0.061552,-0.532578,-0.789772
-1.7588999,-11.7289,-2.3434,-0.07507,-0.543031,-0.783515
-15.723499,-12.9432,-1.2872,-0.054988,-0.560663,-0.778023
-9.923699,-11.9155,-5.131,-0.044091,-0.58133,-0.765529
-2.2378,-7.9184,-3.0381,-0.067035,-0.592119,-0.754382
1.2671,-5.9142,-5.7267,-0.081923,-0.604404,-0.743662
-1.712,-3.7795,-8.3322,-0.079344,-0.618771,-0.736179
-14.018499,5.9563,-8.5413,-0.057768,-0.621834,-0.740735
1.8395,7.1737,-2.4877,-0.050451,-0.615722,-0.742014
3.971,1.1019,-8.546599,-0.031693,-0.613788,-0.740386
-5.7998,3.257,-2.8764,0.038132,-0.59362,-0.755478
-15.2497,34.7045,-0.92499995,0.181988,-0.560103,-0.757739
-10.281,21.9874,-16.9061,0.25091,-0.557738,-0.740162
2.3255,-7.7742,-16.113699,0.253643,-0.577575,-0.724928
3.9139,-15.373699,-7.105,0.228242,-0.583653,-0.723133
0.99789995,-13.8164,-0.4777,0.197784,-0.563935,-0.741012
12.012899,-23.9293,10.9367,0.168714,-0.526456,-0.769505
-1.3238,-14.484099,3.3823998,0.16699299,-0.49756598,-0.789836
-12.1102,-13.6439,-8.1324,0.157486,-0.489449,-0.805434
3.0233998,-5.9203,0.1061,0.142086,-0.484996,-0.81966
-0.66569996,-3.2649,9.438499,0.117636,-0.471589,-0.839416
-0.72069997,4.5955,7.3244,0.096948,-0.467487,-0.852804
-13.7741995,8.2964,-24.3406,0.086701,-0.494927,-0.844165
6.4006,39.6215,-0.5984,0.078597,-0.528969,-0.820361
0.4067,19.5607,-11.5267,0.060015,-0.532161,-0.817231
-0.7137,8.776299,-7.0361,0.064923,-0.545473,-0.809546
-0.85529995,3.1634,-6.7774997,0.082945,-0.567946,-0.790587
-0.6423,-0.2757,-9.0651,0.089333,-0.598184,-0.7674
-1.0932,-1.4322,6.0945,0.08922,-0.593947,-0.771758
-5.4177,-4.186,7.9470997,0.103707,-0.576572,-0.784579
-5.1513,-7.1983,0.7927,0.125848,-0.571909,-0.786743
-5.3496,-7.8468,0.35639998,0.131167,-0.56654,-0.793614
-2.8982,-10.4882,-1.1491,0.129181,-0.550654,-0.807899
0.7507,-13.7562,-4.6259,0.10334,-0.551329,-0.813782
5.0176,-10.9338,-5.6471996,0.063852,-0.563909,-0.81431
3.1030998,3.1074998,-6.124,0.036825,-0.564714,-0.817385
-0.3839,11.8284,-8.756599,0.032526,-0.576172,-0.809466
-1.977,16.9659,-4.1314,0.028528,-0.580983,-0.80488497
-1.3256999,11.6181,-7.2422,0.021954,-0.586741,-0.80008
-1.3968999,5.2086997,-4.8485,0.029199,-0.59282297,-0.79494697
-3.0086,3.6822,-2.8343,0.05178,-0.58507,-0.799439
-4.347,2.1313,-3.9308999,0.06869,-0.579966,-0.802644
-3.5033998,-0.0984,-0.9781,0.069924,-0.57986,-0.804087
-2.0997,-2.2516,-0.944,0.064372,-0.579846,-0.806112
-0.0609,-4.2713,-1.8773999,0.057654,-0.580475,-0.807437
2.7668,-6.4746,-1.7334,0.025768,-0.576155,-0.813455
4.4577,-8.1789,-2.0197,5.65E-4,-0.569667,-0.818842
4.5288,-9.144199,-3.0405998,-0.02626,-0.56283,-0.82346797
3.3016,-10.0323,-4.1440997,-0.04994,-0.556518,-0.826893
0.70239997,-0.9881,-0.4001,-0.052893,-0.553445,-0.829212
-11.4943,16.179699,-1.0462999,-0.03803,-0.555163,-0.829392
-17.0994,21.774199,2.5837,-0.025787,-0.557285,-0.828852
-6.3771996,9.699699,1.209,-0.004871,-0.555987,-0.829526
-5.0165997,7.0606,-1.8995999,0.006978,-0.555063,-0.829832
-6.4314,9.3803,-0.9216,0.019078,-0.555556,-0.829039
-8.5008,8.5885,-0.5223,0.033802,-0.557428,-0.826448
-6.8169,2.2714999,0.3777,0.051625,-0.555061,-0.824667
-4.2692,-0.3829,-2.6373,0.073508,-0.554194,-0.821537
-0.4798,-3.6657,-5.4639997,0.097143,-0.557204,-0.814184
2.0307999,-5.7900996,-6.9077997,0.117157,-0.561312,-0.804571
3.7693,-8.1157,-5.4652,0.125518,-0.565769,-0.795678
4.3827,-11.2345,-4.2500997,0.123184,-0.572389,-0.785475
3.3662,-13.8659,-4.268,0.119463,-0.576297,-0.777008
-5.1733,-9.3735,-2.2883,0.131934,-0.570893,-0.776797
-7.3967,-5.4502,2.7640998,0.157592,-0.546897,-0.785493
-5.9463997,-4.5041,5.5573,0.18059,-0.515979,-0.796089
-6.3787,8.9037,-6.9428997,0.196625,-0.492287,-0.800832
-7.7697997,12.753799,-4.3477,0.200278,-0.488072,-0.79943
-7.4704,20.0558,1.2839999,0.204133,-0.470956,-0.803908
-9.3151,18.9163,-0.6037,0.198903,-0.455143,-0.812032
-5.0222,7.5333996,-3.3894,0.177915,-0.454459,-0.818543
0.1384,4.9356,0.68729997,0.165826,-0.450049,-0.821583
3.0414,3.9387999,-2.9785,0.171638,-0.442356,-0.820325
4.5874,0.78209996,-4.9744997,0.171226,-0.443341,-0.816827
3.444,-3.2047,-5.2181,0.179016,-0.445981,-0.809184
0.7772,-6.4223,-6.3876,0.20333,-0.451081,-0.796448
-0.6297,-8.1859,-6.2669997,0.237546,-0.447818,-0.788142
-0.3047,-9.3827,-3.7942,0.277559,-0.426624,-0.785203
-0.1338,-10.6778,-3.7944,0.296682,-0.409289,-0.789421
-1.2208999,-8.4657,-2.3722,0.318821,-0.387813,-0.792805
1.6721,-3.0014,1.1819999,0.331437,-0.364579,-0.795233
3.7561998,-0.93619996,4.4182997,0.328609,-0.345385,-0.796711
2.3734999,0.0186,5.6966996,0.302744,-0.333616,-0.804594
-7.0621,7.3072,-3.1424,0.267037,-0.336856,-0.812096
-14.200399,12.1804,-13.477099,0.260593,-0.356295,-0.802887
-8.6699,16.5135,3.6134,0.275,-0.360015,-0.795574
-0.31649998,18.4202,-1.8859999,0.287376,-0.346775,-0.797897
0.3308,18.2777,-4.3367,0.294365,-0.369782,-0.792128
0.7482,5.3201,-1.0375,0.304702,-0.373838,-0.785766
-0.069699995,1.9459,-3.1272,0.310605,-0.374268,-0.783812
-0.0656,-2.8725,-2.9928,0.347532,-0.3803,-0.767503
2.5451,-5.7247996,-3.3065,0.364252,-0.383058,-0.758478
