@ HyperIMU - ianovir
@ Date:Sat Jun 13 12:29:14 GMT+02:00 2020, Sampling Rate:20ms

timestamp,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,Rotation_Vector.x,Rotation_Vector.y,Rotation_Vector.z
1592044154399,0.0,0.0,0.0,0.0,0.0,0.0
1592044154422,0.0,0.0,0.0,0.0,0.0,0.0
1592044154443,0.0,0.0,0.0,0.0,0.0,0.0
1592044154461,0.0,0.0,0.0,0.0,0.0,0.0
1592044154482,0.0,0.0,0.0,0.0,0.0,0.0
1592044154502,0.0,0.0,0.0,0.0,0.0,0.0
1592044154523,-4.1658344,-0.63240576,-3.5684576,0.018420203,-0.17420663,-0.8316237
1592044154544,-2.7497988,-0.095404625,-1.8636904,0.042112686,-0.16237442,-0.8110316
1592044154564,-3.361495,0.43120313,-1.3343792,0.06649989,-0.15122624,-0.7936542
1592044154586,-4.1537404,0.6684747,-1.4604769,0.10164261,-0.13768303,-0.7723989
1592044154606,-3.739949,0.7695658,-1.2764587,0.11945519,-0.1328107,-0.76135117
1592044154627,-2.8762727,0.72863865,-1.2281456,0.13451712,-0.13173102,-0.7506206
1592044154648,-1.205732,1.1574888,0.98116684,0.13434862,-0.13796854,-0.74452263
1592044154669,-0.94391495,0.44592333,3.6533718,0.12364392,-0.1437552,-0.7486309
1592044154689,-1.4104,-0.31925726,3.184493,0.113945276,-0.14664847,-0.7593472
1592044154710,-1.9617258,-0.39841557,0.54934597,0.11305917,-0.14687413,-0.76624477
1592044154732,-1.7770277,-0.20876741,-1.9656954,0.1187115,-0.14347616,-0.7659656
1592044154752,-1.4611845,-0.11342859,-1.9772062,0.12214283,-0.13819413,-0.7639705
1592044154773,-1.1806549,-0.35740662,-1.7227039,0.12376912,-0.13538285,-0.7614431
1592044154794,-0.62335,-0.48523712,-2.0667725,0.12512638,-0.1375204,-0.75917435
1592044154815,-0.33913213,-0.46762133,-3.3768988,0.12957838,-0.14547679,-0.75451523
1592044154834,-0.6221805,-0.6874609,-4.1016073,0.13436334,-0.15276498,-0.75036836
1592044154856,-0.4908862,-0.7080531,-2.7074556,0.14294158,-0.16895834,-0.7427437
1592044154877,-0.9811887,-0.9886527,-2.9791756,0.14579685,-0.17492707,-0.7408713
1592044154897,-1.5205368,-1.3830409,-2.903494,0.14826787,-0.17938618,-0.7394106
1592044154919,-0.7928205,-0.7413273,-1.7840662,0.14375441,-0.18750878,-0.7367011
1592044154940,0.48764437,-0.805676,-1.2047348,0.13639319,-0.1908681,-0.73683584
1592044154961,0.73150724,-0.57845116,-0.79754543,0.123832285,-0.19486111,-0.7385602
1592044154984,-0.35098654,-0.48196888,-0.0804863,0.10981339,-0.19492394,-0.74428576
1592044155004,-1.9320801,-1.575501,-1.0697918,0.10576251,-0.1926596,-0.74989855
1592044155023,-1.9606967,-1.3976679,-1.3015499,0.10126982,-0.19209415,-0.753843
1592044155047,-1.287112,-0.84608936,-0.74772644,0.09391505,-0.19498302,-0.75539327
1592044155066,-0.041674614,0.024188519,0.09713936,0.085577056,-0.19985794,-0.7547676
1592044155089,0.22672248,0.16231632,0.2583418,0.08392455,-0.20093827,-0.75440127
1592044155108,-0.7268361,0.51349926,-0.3136177,0.08342719,-0.20547067,-0.7510496
1592044155129,-1.4133699,-0.037178993,-0.951149,0.084652536,-0.20710264,-0.7510632
1592044155151,-0.69861007,0.58179665,0.2297306,0.0807905,-0.21276358,-0.7491458
1592044155171,0.09361625,0.7549834,1.7572317,0.07513829,-0.21837683,-0.74784976
1592044155193,0.9791026,0.36987305,2.136611,0.06640254,-0.22639976,-0.7476649
1592044155213,0.95804095,-0.29291964,0.55134106,0.056400962,-0.23612002,-0.7469451
1592044155235,0.42055035,-0.9779844,-0.4873848,0.04563402,-0.24370046,-0.7466001
1592044155252,-0.24847865,-1.7200732,-0.79935074,0.03966058,-0.24417934,-0.7467249
1592044155274,-1.3107834,-3.149014,-1.2803593,0.033067558,-0.24051489,-0.74653333
1592044155296,-1.9608386,-4.521042,-2.2345572,0.029554334,-0.23701769,-0.7448496
1592044155317,-2.511849,-5.035018,-4.5625343,0.02770254,-0.23284027,-0.7317574
1592044155338,-2.3235018,-3.4895606,-7.260272,0.024533257,-0.23216753,-0.7163387
1592044155359,-0.73204803,-3.3165486,-4.15189,0.0027970527,-0.2285356,-0.6975444
1592044155380,-2.0258927,-3.490495,-0.62694454,-0.02137842,-0.22280835,-0.684286
1592044155401,-1.8197057,-3.9044375,0.27817535,-0.045790445,-0.2221804,-0.66935766
1592044155423,-0.67494845,-2.731719,-0.97313595,-0.0693737,-0.22559613,-0.64990413
1592044155442,-0.3071475,-0.31878984,-1.9535265,-0.09268386,-0.2357539,-0.623579
1592044155465,2.4732714,0.9080086,0.63797855,-0.1304258,-0.2573855,-0.58824486
1592044155485,4.753576,1.3351119,5.0595407,-0.16707395,-0.25835013,-0.56622547
1592044155506,7.351854,3.682702,9.450544,-0.19778466,-0.24060738,-0.55170757
1592044155527,4.228148,4.256979,8.5180645,-0.21183173,-0.22082308,-0.54419273
1592044155548,1.955234,2.074723,5.1634846,-0.21701963,-0.20823643,-0.53916603
1592044155570,1.522727,2.5012317,2.940113,-0.21619982,-0.20329453,-0.53224564
1592044155599,3.2745628,4.938122,0.07911682,-0.20995098,-0.1995968,-0.517883
