@ HyperIMU - ianovir
@ Date:Thu Jun 11 21:32:30 GMT+02:00 2020, Sampling Rate:20ms

linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
0.0,0.0,0.0,0.0,0.0,0.0
-3.2266998,-2.2855,-0.59169996,0.388643,0.201955,0.789523
-3.8068,-2.7138,0.96199995,0.372882,0.19624,0.794709
-2.9935,-2.7126,1.9672999,0.35991699,0.187794,0.800949
-2.1945999,-2.9478998,0.98889995,0.351567,0.178395,0.806441
-3.6390998,-2.9294,-0.7224,0.355181,0.177514,0.80628
-3.0393,-3.8992999,-0.6371,0.344017,0.167836,0.81211
-2.4882998,-3.9531,1.1026,0.330548,0.157983,0.819673
-1.9521999,-3.1462,4.6256,0.319147,0.128396,0.821942
-2.5816,-2.824,2.6822,0.30742,0.082145,0.819167
-3.4189,-1.7917,-1.5107,0.298153,0.0598,0.818322
-3.8723,-1.9514999,-4.4723,0.29263,0.042915,0.814521
-4.5871997,-2.313,-4.1443,0.284415,0.028379,0.81164
-3.3300998,-1.7269,0.2586,0.266599,0.010602,0.813115
-3.2352998,-0.6408,1.4377999,0.262279,-0.004536,0.810519
-3.1325998,0.1696,1.2249,0.236102,-0.014503,0.815593
-5.6475997,-0.80799997,-1.7267,0.21289,-0.0117,0.820841
-6.541,1.4181,0.56299996,0.192743,-0.00752,0.824944
-4.987,-0.4962,4.7016,0.177397,-0.015753,0.831314
0.0817,-0.5852,5.8387,0.175557,-0.029509,0.837959
2.8501,0.3092,7.3683,0.183177,-0.046096,0.843467
2.5642998,1.1516,12.939099,0.192382,-0.064804,0.84661
1.981,1.3608999,3.6260998,0.207893,-0.075253,0.847348
2.753,0.9675,-3.3704998,0.232821,-0.08629,0.845367
1.7852999,0.6321,2.7078,0.238624,-0.107792,0.846679
-1.2993,0.1193,3.7069,0.222613,-0.120183,0.854288
-1.7128999,1.2975999,6.9902,0.194515,-0.124767,0.864746
1.1585,4.1310997,-0.38939998,0.165665,-0.140352,0.872898
-1.8629999,4.7353997,-6.2191997,0.166063,-0.144317,0.871389
-7.9375,6.6886997,-11.1026,0.157765,-0.136141,0.873548
-8.9653,4.0446997,-12.4529,0.128567,-0.132469,0.883599
